id,generic_name,brand_name,manufacturer,category,subcategory,ndc,price,dosage_form,dosage,description,gene_interactions,stock
287,Promycin,promycin Calcium,Boehringer Ingelheim,Antibiotic,Penicillin,43371-715-49,167.82,Intravenous Solution,"5.0 % Intravenous Solution, 150 mL bottle. Typical dosing: three times daily.","promycin is a penicillin antibiotic that inhibits bacterial cell wall synthesis, effective against both gram-positive and gram-negative organisms.

Mechanism of Action: promycin works by inhibiting bacterial cell wall synthesis by binding to penicillin-binding proteins.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Crosses the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Excreted in urine as metabolites.

Contraindications: Severe renal impairment; Severe hepatic impairment; Pregnancy and lactation; Concurrent use of contraindicated medications.

Common Adverse Effects: QT interval prolongation, Fatigue, Tooth discoloration, Candidiasis, Diarrhea.",,513
288,Lephylline,Roclephylline Potassium,Roche,Ophthalmological,Mydriatic,14481-796-85,80.42,Orally Disintegrating Tablet,"500 mg Orally Disintegrating Tablet, 20 Orally Disintegrating Tablets per bottle. Typical dosing: once daily.","lephylline is indicated for therapeutic applications related to ophthalmological conditions.

Mechanism of Action: lephylline works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Does not significantly penetrate the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Clearance is reduced in patients with renal impairment.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Pregnancy and lactation.

Common Adverse Effects: Headache, Rash, Diarrhea, Pruritus, Fatigue, Dizziness.",BCHE,749
289,Enfenac,enfenac,Sun Pharmaceutical,Ophthalmological,Lubricant,66978-818-48,66.01,Powder for Reconstitution,"500 mg Powder for Reconstitution, 100 units per package. Typical dosing: three times daily.","enfenac is indicated for therapeutic applications related to ophthalmological conditions.

Mechanism of Action: enfenac works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is reduced when taken with food. Low protein binding (<30%). Undergoes conjugation reactions in the liver. Eliminated through both renal and biliary routes.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment.

Common Adverse Effects: Vomiting, Headache, Diarrhea, Fatigue.",,970
290,Fiphylline,fiphylline Sodium CR,Torrent Pharmaceuticals,Musculoskeletal,Muscle Relaxant,78356-501-69,39.63,Syrup,"2.5 % Syrup, 480 mL bottle. Typical dosing: as directed by physician.","fiphylline is a muscle relaxant medication classified under musculoskeletal drugs.

Mechanism of Action: fiphylline works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Absorption is enhanced when taken with food. Distribution limited primarily to the vascular compartment. Metabolized via non-CYP450 pathways. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe renal impairment; Pregnancy and lactation; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Rash, Fatigue, Headache, Dizziness, Vomiting.",,613
291,Tifloxacin,tifloxacin,Roche,Antibiotic,Carbapenem,51514-347-79,38.73,Topical Gel,"5.0 % Topical Gel, 100 g tube. Typical dosing: twice daily.","tifloxacin is indicated for the treatment of infections caused by susceptible strains of designated microorganisms.

Mechanism of Action: tifloxacin works by inhibiting bacterial cell wall synthesis by binding to penicillin-binding proteins.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Distribution limited primarily to the vascular compartment. Metabolized via non-CYP450 pathways. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Myasthenia gravis (for certain antibiotic classes); Severe hepatic impairment; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Dizziness, Abdominal pain, Fatigue, Headache, Candidiasis.",,294
292,Viglitazone,MP-viglitazone,Mankind Pharma,Antidiabetic,SGLT2 Inhibitor,27872-837-70,135.87,Vaginal Cream,"1.0 mg Vaginal Cream, 15 g tube. Typical dosing: with meals.","viglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes.

Mechanism of Action: viglitazone works by inhibiting intestinal alpha-glucosidase enzymes, delaying carbohydrate absorption.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Accumulates in adipose tissue due to lipophilic properties. Metabolism shows significant inter-individual variability. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe hepatic impairment; Diabetic ketoacidosis; Acute or chronic metabolic acidosis; Type 1 diabetes mellitus (for certain antidiabetic classes); Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Vomiting, Fatigue, Rash, Urinary tract infections, Lactic acidosis, Genital mycotic infections, Peripheral edema.","CFTR,CYP2C19,IFNL3",646
293,Pecitabine,pecitabine,Aurobindo Pharma,Antiparasitic,Antimalarial,42656-462-34,75.36,Ophthalmic Solution,"0.025 % Ophthalmic Solution, 240 mL bottle. Typical dosing: twice daily.","pecitabine is indicated for therapeutic applications related to antiparasitic conditions.

Mechanism of Action: pecitabine works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Crosses the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Excreted in urine as metabolites.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe renal impairment; Severe hepatic impairment.

Common Adverse Effects: Diarrhea, Nausea, Abdominal pain, Pruritus.",,334
294,Brofenac,brofenac Plus,AstraZeneca,Antiparasitic,Antihelminthic,60508-900-91,84.9,Topical Cream,"25 mg/g Topical Cream, 30 g tube. Typical dosing: twice daily.","brofenac is a antihelminthic medication classified under antiparasitic drugs.

Mechanism of Action: brofenac works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Does not significantly penetrate the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Fatigue, Diarrhea, Headache, Nausea, Pruritus, Vomiting, Rash.",,457
295,Azmycin,azmycin Potassium,Allergan,Ophthalmological,Miotic,18577-988-37,85.25,Vaginal Cream,"500 mg Vaginal Cream, 100 g tube. Typical dosing: as directed by physician.","azmycin is used in the treatment of conditions requiring ophthalmological therapy.

Mechanism of Action: azmycin works by counteracting pathological changes in tissue function.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Does not significantly penetrate the blood-brain barrier. Undergoes conjugation reactions in the liver. Eliminated through both renal and biliary routes.

Contraindications: Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Severe renal impairment.

Common Adverse Effects: Fatigue, Abdominal pain, Rash, Nausea.","TPMT,G6PD",504
296,Cizepine,Astcizepine Calcium,AstraZeneca,Antiparasitic,Antihelminthic,26540-350-80,90.69,Topical Ointment,"10.0 % Topical Ointment, 60 g tube. Typical dosing: twice daily.","cizepine is used in the treatment of conditions requiring antiparasitic therapy.

Mechanism of Action: cizepine works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Crosses the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Abdominal pain, Rash, Nausea, Pruritus, Dizziness, Fatigue, Vomiting.","CYP3A4,COMT,CYP2E1",589
297,Cilukast,cilukast,Mankind Pharma,Immunological,Antirheumatic,98803-197-16,395.25,Sublingual Tablet,"25 mg Sublingual Tablet, 30 Sublingual Tablets per bottle. Typical dosing: once daily.","cilukast is used in the treatment of conditions requiring immunological therapy.

Mechanism of Action: cilukast works by counteracting pathological changes in tissue function.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Crosses the blood-brain barrier. Subject to minimal metabolism, with most of the drug excreted unchanged. Elimination rate depends on hepatic function.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment.

Common Adverse Effects: Pruritus, Nausea, Rash, Vomiting, Fatigue, Dizziness, Headache.","CYP1A2,CYP2E1",721
298,Garidone,garidone,Strides Pharma,Central Nervous System,Antiepileptic,50971-997-93,144.27,Buccal Tablet,"25.0 mg Buccal Tablet, 120 Buccal Tablets per bottle. Typical dosing: at bedtime.","garidone is indicated for the management of chronic pain conditions through its action on central pain pathways.

Mechanism of Action: garidone works by inhibiting the reuptake of serotonin and norepinephrine in the CNS.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Widely distributed throughout body tissues. Undergoes conjugation reactions in the liver. Eliminated through both renal and biliary routes.

Contraindications: Concomitant use of monoamine oxidase inhibitors; Hypersensitivity to the active substance or any of the excipients; Angle-closure glaucoma; Severe hepatic impairment; Pregnancy and lactation.

Common Adverse Effects: Somnolence, Headache, Paresthesia, Nausea, Depression, Tremor.",,654
299,Temethasone,temethasone,Eli Lilly,Hormonal,Thyroid Hormone,10447-553-30,157.46,Intravenous Solution,"4.0 mEq/mL Intravenous Solution, 480 mL bottle. Typical dosing: three times daily.","temethasone is a thyroid hormone medication classified under hormonal drugs.

Mechanism of Action: temethasone works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Absorption is reduced when taken with food. Highly protein-bound (approximately 90-95%). Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Eliminated through both renal and biliary routes.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment.

Common Adverse Effects: Dizziness, Rash, Pruritus, Fatigue.",,362
300,Acpril,Amgacpril,Amgen,Antiviral,Entry Inhibitor,44770-394-81,1387.54,Extended-Release Tablet,"100 mcg Extended-Release Tablet, 90 Extended-Release Tablets per bottle. Typical dosing: three times daily.","acpril is used in the treatment of conditions requiring antiviral therapy.

Mechanism of Action: acpril works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Slowly absorbed after oral administration. Accumulates in adipose tissue due to lipophilic properties. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Excreted in urine as metabolites.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Headache, Pruritus, Vomiting, Rash.",,468
301,Esprazole,esprazole SR,Aurobindo Pharma,Immunological,Interferons,87356-757-60,218.26,Capsule,"10 mcg Capsule, 20 Capsules per bottle. Typical dosing: twice daily.","esprazole is a interferons medication classified under immunological drugs.

Mechanism of Action: esprazole works by counteracting pathological changes in tissue function.

Pharmacokinetics: Absorption is reduced when taken with food. Does not significantly penetrate the blood-brain barrier. Metabolized to active metabolites that contribute to the therapeutic effect. Excreted in urine as metabolites.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Headache, Dizziness, Vomiting, Nausea, Abdominal pain, Pruritus, Diarrhea.","ABCG2,G6PD,CYP2C9",364
302,Didipine,didipine HBr,Gilead Sciences,Nutritional,Electrolyte,58631-718-13,10.38,Enteric-Coated Tablet,"50 mg Enteric-Coated Tablet, 90 Enteric-Coated Tablets per bottle. Typical dosing: twice daily.","didipine is a electrolyte medication classified under nutritional drugs.

Mechanism of Action: didipine works by counteracting pathological changes in tissue function.

Pharmacokinetics: Well absorbed through transdermal application. Crosses the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe hepatic impairment; Severe renal impairment; Pregnancy and lactation.

Common Adverse Effects: Vomiting, Headache, Diarrhea, Nausea, Abdominal pain, Dizziness.",,370
303,Hesetron,hesetron Calcium,Alkem Laboratories,Musculoskeletal,Antigout,71348-529-24,60.73,Lozenges,"100 mg Lozenges, 30 units per package. Typical dosing: three times daily.","hesetron is used in the treatment of conditions requiring musculoskeletal therapy.

Mechanism of Action: hesetron works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Highly protein-bound (approximately 90-95%). Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Eliminated through both renal and biliary routes.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment.

Common Adverse Effects: Pruritus, Diarrhea, Headache, Rash, Fatigue, Nausea.","CYP2D6,CYP2C9,ABCG2",600
304,Flumethasone,flumethasone XR,Baxter International,Antiviral,Nucleoside Analog,43946-955-75,695.67,Drops,"100 mg Drops, 20 units per package. Typical dosing: once daily.","flumethasone is a nucleoside analog medication classified under antiviral drugs.

Mechanism of Action: flumethasone works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Highly protein-bound (approximately 90-95%). Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Prolonged half-life allowing once-daily dosing.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Rash, Fatigue, Nausea, Headache.",,537
305,Sizepine,sizepine,Aurobindo Pharma,Ophthalmological,Miotic,57241-173-33,114.97,Ophthalmic Solution,"5.0 % Ophthalmic Solution, 240 mL bottle. Typical dosing: once daily.","sizepine is indicated for therapeutic applications related to ophthalmological conditions.

Mechanism of Action: sizepine works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Distribution limited primarily to the vascular compartment. Metabolized to active metabolites that contribute to the therapeutic effect. Excreted in urine as metabolites.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Vomiting, Pruritus, Dizziness, Rash, Diarrhea, Abdominal pain, Headache.",,602
306,Enfibrate,enfibrate Hydrochloride XR,Mankind Pharma,Musculoskeletal,Antigout,75099-255-52,115.17,Capsule,"10 mcg Capsule, 20 Capsules per bottle. Typical dosing: as directed by physician.","enfibrate is used in the treatment of conditions requiring musculoskeletal therapy.

Mechanism of Action: enfibrate works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is enhanced when taken with food. Moderately protein-bound (approximately 60-80%). Subject to minimal metabolism, with most of the drug excreted unchanged. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Rash, Nausea, Pruritus, Abdominal pain, Dizziness, Vomiting.","UGT1A1,NAT2",387
307,Detriptyline,detriptyline D,Abbott Laboratories,Central Nervous System,NSAID,56134-437-36,72.47,Injection,"200.0 mg Injection, 1 5 mL vials. Typical dosing: once daily.","detriptyline is a nsaid that acts on the central nervous system to treat conditions such as depression, anxiety, or seizures.

Mechanism of Action: detriptyline works by inhibiting the reuptake of serotonin and norepinephrine in the CNS.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Accumulates in adipose tissue due to lipophilic properties. Metabolism shows significant inter-individual variability. Eliminated through both renal and biliary routes.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Severe hepatic impairment; Concomitant use of monoamine oxidase inhibitors; Seizure disorders.

Common Adverse Effects: Anxiety, Somnolence, Confusion, Nausea, Rash, Fatigue.",,313
308,Dociclovir,dociclovir Potassium SR,Bristol-Myers Squibb,Otological,Anti-Infective,22286-835-69,55.61,Extended-Release Capsule,"200 mcg Extended-Release Capsule, 20 Extended-Release Capsules per bottle. Typical dosing: as directed by physician.","dociclovir is used in the treatment of conditions requiring otological therapy.

Mechanism of Action: dociclovir works by counteracting pathological changes in tissue function.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Crosses the blood-brain barrier. Undergoes conjugation reactions in the liver. Excreted in urine as metabolites.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Severe hepatic impairment.

Common Adverse Effects: Fatigue, Abdominal pain, Pruritus, Headache, Diarrhea, Vomiting.",,593
309,Loracil,loracil ER,Alembic Pharmaceuticals,Antiparasitic,Antimalarial,51724-260-35,270.24,Intravenous Solution,"1.0 mEq/mL Intravenous Solution, 480 mL bottle. Typical dosing: once daily.","loracil belongs to the class of antimalarial agents within the antiparasitic category.

Mechanism of Action: loracil works by counteracting pathological changes in tissue function.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Highly protein-bound (approximately 90-95%). Metabolism shows significant inter-individual variability. Short half-life of 2-4 hours requiring multiple daily dosing.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Diarrhea, Vomiting, Headache, Dizziness, Pruritus.",,762
310,Abrubicin,abrubicin HCT,Torrent Pharmaceuticals,Antidiabetic,Insulin,76027-140-27,162.88,Vaginal Tablet,"0.5 mg Vaginal Tablet, 90 Vaginal Tablets per bottle. Typical dosing: with meals.","abrubicin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes.

Mechanism of Action: abrubicin works by inhibiting sodium-glucose cotransporter 2 (SGLT2) in the kidneys, increasing urinary glucose excretion.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Highly protein-bound (approximately 90-95%). Undergoes conjugation reactions in the liver. Elimination rate depends on hepatic function.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Diabetic ketoacidosis; Pregnancy and lactation.

Common Adverse Effects: Rash, Genital mycotic infections, Lactic acidosis, Nausea, Abdominal pain, Headache.",,518
311,Liracil,PH-liracil HCl,Piramal Healthcare,Antiviral,Nucleoside Analog,99331-426-58,224.77,Rectal Suppository,"200 mg Rectal Suppository, 30 units per package. Typical dosing: twice daily.","liracil is indicated for therapeutic applications related to antiviral conditions.

Mechanism of Action: liracil works by binding to specific receptors in target tissues.

Pharmacokinetics: Absorption is reduced when taken with food. Crosses the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Prolonged half-life allowing once-daily dosing.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Severe renal impairment; Pregnancy and lactation.

Common Adverse Effects: Abdominal pain, Rash, Dizziness, Fatigue, Pruritus, Headache.",,415
312,Ralukast,ralukast Hydrochloride,Zydus Cadila,Respiratory,Antitussive,79747-466-75,113.12,Extended-Release Tablet,"400 mg Extended-Release Tablet, 14 Extended-Release Tablets per bottle. Typical dosing: twice daily.","ralukast is used for symptomatic relief of respiratory tract disorders characterized by congestion and inflammation.

Mechanism of Action: ralukast works by antagonizing histamine H1 receptors, reducing allergic responses.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Crosses the blood-brain barrier. Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Prolonged half-life allowing once-daily dosing.

Contraindications: Pregnancy and lactation; Status asthmaticus; Severe renal impairment.

Common Adverse Effects: Increased sputum production, Headache, Dizziness, Vomiting, Diarrhea, Pharyngitis.","CYP3A4,HLA-B*5701",672
313,Estaxel,IP-estaxel,Intas Pharmaceuticals,Anticancer,Alkylating Agent,65157-888-65,243.12,Topical Cream,"50 mg/g Topical Cream, 20 g tube. Typical dosing: as directed by physician.","estaxel is used in the treatment of conditions requiring anticancer therapy.

Mechanism of Action: estaxel works by enhancing physiological defense mechanisms.

Pharmacokinetics: Absorption is reduced when taken with food. Widely distributed throughout body tissues. Subject to minimal metabolism, with most of the drug excreted unchanged. Prolonged half-life allowing once-daily dosing.

Contraindications: Severe renal impairment; Severe hepatic impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Fatigue, Headache, Rash, Nausea, Abdominal pain.",,714
314,Bromustine,bromustine,Gilead Sciences,Anticancer,Topoisomerase Inhibitor,72434-844-52,1850.11,Otic Solution,"50.0 mg/mL Otic Solution, 100 mL bottle. Typical dosing: three times daily.","bromustine belongs to the class of topoisomerase inhibitor agents within the anticancer category.

Mechanism of Action: bromustine works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Well absorbed through transdermal application. Low protein binding (<30%). Undergoes conjugation reactions in the liver. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Pregnancy and lactation; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment.

Common Adverse Effects: Abdominal pain, Fatigue, Nausea, Vomiting, Diarrhea, Dizziness.",,362
315,Fezepine,fezepine XR,Amgen,Central Nervous System,Antimigraine,80249-527-52,164.55,Enteric-Coated Tablet,"10.0 mg Enteric-Coated Tablet, 50 Enteric-Coated Tablets per bottle. Typical dosing: as needed for pain.","fezepine is indicated for the management of chronic pain conditions through its action on central pain pathways.

Mechanism of Action: fezepine works by enhancing GABAergic neurotransmission, producing anxiolytic and sedative effects.

Pharmacokinetics: Well absorbed through transdermal application. Does not significantly penetrate the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Eliminated through both renal and biliary routes.

Contraindications: Seizure disorders; Suicidal ideation; Pregnancy and lactation; Severe renal impairment; Angle-closure glaucoma.

Common Adverse Effects: Confusion, Paresthesia, Dizziness, Somnolence.",,423
316,Cafloxacin,Glecafloxacin,Glenmark,Dermatological,Antibiotic,22693-330-61,43.92,Injection,"0.5 g Injection, 50 50 mL vials. Typical dosing: as directed by physician.","cafloxacin is indicated for therapeutic applications related to dermatological conditions.

Mechanism of Action: cafloxacin works by enhancing physiological defense mechanisms.

Pharmacokinetics: Slowly absorbed after oral administration. Highly protein-bound (approximately 90-95%). Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Short half-life of 2-4 hours requiring multiple daily dosing.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Pregnancy and lactation.

Common Adverse Effects: Diarrhea, Headache, Fatigue, Abdominal pain.",,363
317,Gafibrate,gafibrate Sulfate,Lupin,Cardiovascular,Cardiac Glycoside,81035-541-72,81.01,Drops,"200.0 mg Drops, 20 units per package. Typical dosing: three times daily.","gafibrate belongs to the class of cardiac glycoside medications and is used to treat various cardiovascular disorders including coronary artery disease.

Mechanism of Action: gafibrate works by blocking calcium channels in vascular smooth muscle and cardiac muscle.

Pharmacokinetics: Slowly absorbed after oral administration. Does not significantly penetrate the blood-brain barrier. Metabolism shows significant inter-individual variability. Excreted in urine as metabolites.

Contraindications: Cardiogenic shock; Severe bradycardia; Bilateral renal artery stenosis; Severe renal impairment; Acute heart failure.

Common Adverse Effects: Pruritus, Abdominal pain, Diarrhea, Syncope, Fatigue, Dizziness, Bradycardia.",,615
318,Natriptium,natriptium,Bayer,Respiratory,Antihistamine,73225-686-36,188.39,Syrup,"5.0 mg/mL Syrup, 10 mL bottle. Typical dosing: twice daily.","natriptium helps reduce inflammation and bronchospasm in the airways, improving breathing in patients with respiratory conditions.

Mechanism of Action: natriptium works by antagonizing histamine H1 receptors, reducing allergic responses.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Highly protein-bound (approximately 90-95%). Metabolized to active metabolites that contribute to the therapeutic effect. Eliminated through both renal and biliary routes.

Contraindications: Status asthmaticus; Severe COPD with respiratory insufficiency; Hypersensitivity to the active substance or any of the excipients; Untreated fungal infections of the respiratory tract; Pregnancy and lactation.

Common Adverse Effects: Dyspnea, Nausea, Abdominal pain, Fatigue.",,616
319,Vipril,vipril,AbbVie,Cardiovascular,Vasodilator,97706-658-71,111.88,Lozenges,"50.0 mg Lozenges, 30 units per package. Typical dosing: twice daily.","vipril is a vasodilator used in the management of heart failure, hypertension, and related cardiovascular conditions.

Mechanism of Action: vipril works by reducing the activity of the renin-angiotensin-aldosterone system.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Accumulates in adipose tissue due to lipophilic properties. Metabolism shows significant inter-individual variability. Short half-life of 2-4 hours requiring multiple daily dosing.

Contraindications: Second or third-degree heart block; Severe hepatic impairment; Bilateral renal artery stenosis; Severe renal impairment.

Common Adverse Effects: Edema, Pruritus, Nausea, Fatigue, Syncope, Diarrhea, Headache.",CFTR,256
320,Rotropin,rotropin Nitrate,Teva Pharmaceutical,Hormonal,Androgen,51014-668-84,47.11,Buccal Tablet,"0.125 mg Buccal Tablet, 60 Buccal Tablets per bottle. Typical dosing: twice daily.","rotropin is indicated for therapeutic applications related to hormonal conditions.

Mechanism of Action: rotropin works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Well absorbed through transdermal application. Low protein binding (<30%). Subject to minimal metabolism, with most of the drug excreted unchanged. Eliminated through both renal and biliary routes.

Contraindications: Severe renal impairment; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Headache, Diarrhea, Fatigue, Vomiting, Rash.",,698
321,Mefloxacin,mefloxacin,Abbott Laboratories,Otological,Anti-Inflammatory,57331-962-74,54.56,Ophthalmic Solution,"5.0 mg/mL Ophthalmic Solution, 150 mL bottle. Typical dosing: twice daily.","mefloxacin is used in the treatment of conditions requiring otological therapy.

Mechanism of Action: mefloxacin works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Highly protein-bound (approximately 90-95%). Metabolized through multiple pathways with no single dominant route. Excreted in urine as metabolites.

Contraindications: Severe hepatic impairment; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation.

Common Adverse Effects: Rash, Nausea, Dizziness, Abdominal pain.",,323
322,Rerelin,rerelin SR,Zydus Cadila,Hormonal,Thyroid Hormone,16282-315-26,99.65,Enteric-Coated Tablet,"0.075 mg Enteric-Coated Tablet, 180 Enteric-Coated Tablets per bottle. Typical dosing: as directed by physician.","rerelin belongs to the class of thyroid hormone agents within the hormonal category.

Mechanism of Action: rerelin works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Low protein binding (<30%). Subject to minimal metabolism, with most of the drug excreted unchanged. Elimination rate depends on hepatic function.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Vomiting, Abdominal pain, Pruritus, Diarrhea, Rash.","UGT1A1,SLCO1B1",701
323,Suvastatin,suvastatin Forte,Novo Nordisk,Otological,Anti-Infective,10679-457-56,97.53,Effervescent Tablet,"20 mg Effervescent Tablet, 60 Effervescent Tablets per bottle. Typical dosing: as directed by physician.","suvastatin belongs to the class of anti-infective agents within the otological category.

Mechanism of Action: suvastatin works by counteracting pathological changes in tissue function.

Pharmacokinetics: Well absorbed through transdermal application. Low protein binding (<30%). Primarily metabolized by CYP2D6 with genetic polymorphisms affecting rate of metabolism. Eliminated through both renal and biliary routes.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Vomiting, Rash, Abdominal pain, Fatigue, Pruritus, Dizziness, Nausea.",,540
324,Qucitabine,qucitabine Sodium,Sanofi,Gastrointestinal,Antacid,94923-728-60,134.77,Otic Solution,"10.0 mg/mL Otic Solution, 10 mL bottle. Typical dosing: once daily.","qucitabine provides relief from symptoms associated with gastroesophageal reflux disease (GERD) and peptic ulcer disease.

Mechanism of Action: qucitabine works by blocking dopamine D2 receptors in the chemoreceptor trigger zone, providing antiemetic effects.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Accumulates in adipose tissue due to lipophilic properties. Metabolized via non-CYP450 pathways. Elimination rate depends on hepatic function.

Contraindications: Active gastrointestinal bleeding; Severe hepatic impairment; Pregnancy and lactation.

Common Adverse Effects: Dizziness, Vomiting, Flatulence, Dry mouth.","HLA-B*1502,BCHE,CYP2B6",510
